../graf_mbp/graf_15_8.txt;15;60;3983;1;30.655;2;4
../graf_mbp/graf_21_6.txt;21;63;4587;1;58.113;2;4
../graf_mbp/graf_18_7.txt;18;63;4434;1;74.483;2;4
../graf_mbp/graf_15_8.txt;15;60;3984;1;17.47;4;4
../graf_mbp/graf_21_6.txt;21;63;4678;1;25.424;4;4
../graf_mbp/graf_18_7.txt;18;63;4434;1;41.837;4;4
../graf_mbp/graf_15_8.txt;15;60;3983;1;11.649;8;4
../graf_mbp/graf_21_6.txt;21;63;4680;1;17.472;8;4
../graf_mbp/graf_18_7.txt;18;63;4434;1;28.435;8;4
../graf_mbp/graf_15_8.txt;15;60;3983;1;10.057;16;4
../graf_mbp/graf_21_6.txt;21;63;4663;1;14.757;16;4
../graf_mbp/graf_18_7.txt;18;63;4434;1;23.623;16;4
../graf_mbp/graf_15_8.txt;15;60;3983;1;9.818;20;4
../graf_mbp/graf_21_6.txt;21;63;4681;1;15.157;20;4
../graf_mbp/graf_18_7.txt;18;63;4434;1;23.019;20;4
